Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-10.0.2.5-45423-5432-6,10.0.2.15,45423,10.0.2.5,5432,6,15/12/2025 11:06:34 PM,12707067,2,1,0,0,0,0,0,0,0,0,0,0,0,0.236089099,6353533.5,8983448.708,1.27E+07,1276,1.27E+07,1.27E+07,0,1.27E+07,1.27E+07,0,0,0,0,0,0,0,0,0,64,32,0.157392733,0.078696366,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.27E+07,0,1.27E+07,1.27E+07,0
10.0.2.15-10.0.2.5-44363-5432-6,10.0.2.15,44363,10.0.2.5,5432,6,15/12/2025 11:09:35 PM,5429735,2,1,0,0,0,0,0,0,0,0,0,0,0,0.552513152,2714867.5,3838064.593,5428789,946,5428789,5428789,0,5428789,5428789,0,0,0,0,0,0,0,0,0,64,32,0.368342101,0.184171051,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,5428789,0,5428789,5428789,0
10.0.2.15-10.0.2.5-39089-5432-6,10.0.2.15,39089,10.0.2.5,5432,6,15/12/2025 11:09:14 PM,12574859,2,1,0,0,0,0,0,0,0,0,0,0,0,0.238571264,6287429.5,8889682.106,1.26E+07,1475,1.26E+07,1.26E+07,0,1.26E+07,1.26E+07,0,0,0,0,0,0,0,0,0,64,32,0.159047509,0.079523755,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.26E+07,0,1.26E+07,1.26E+07,0
10.0.2.15-10.0.2.5-40009-5432-6,10.0.2.15,40009,10.0.2.5,5432,6,15/12/2025 11:08:53 PM,11638842,2,1,0,0,0,0,0,0,0,0,0,0,0,0.257757602,5819421,8227572.065,1.16E+07,1649,1.16E+07,1.16E+07,0,1.16E+07,1.16E+07,0,0,0,0,0,0,0,0,0,64,32,0.171838401,0.085919201,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.16E+07,0,1.16E+07,1.16E+07,0
10.0.2.15-10.0.2.5-35989-5432-6,10.0.2.15,35989,10.0.2.5,5432,6,15/12/2025 11:05:59 PM,12939921,2,1,0,0,0,0,0,0,0,0,0,0,0,0.231840674,6469960.5,9144799.162,1.29E+07,3611,1.29E+07,1.29E+07,0,1.29E+07,1.29E+07,0,0,0,0,0,0,0,0,0,64,32,0.154560449,0.077280225,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.29E+07,0,1.29E+07,1.29E+07,0
10.0.2.15-10.0.2.5-39639-5432-6,10.0.2.15,39639,10.0.2.5,5432,6,15/12/2025 11:09:08 PM,6752929,2,1,0,0,0,0,0,0,0,0,0,0,0,0.444251672,3376464.5,4774083.052,6752251,678,6752251,6752251,0,6752251,6752251,0,0,0,0,0,0,0,0,0,64,32,0.296167781,0.148083891,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,6752251,0,6752251,6752251,0
10.0.2.15-10.0.2.5-33683-5432-6,10.0.2.15,33683,10.0.2.5,5432,6,15/12/2025 11:06:11 PM,12837068,2,1,0,0,0,0,0,0,0,0,0,0,0,0.233698225,6418534,9074961.761,1.28E+07,1567,1.28E+07,1.28E+07,0,1.28E+07,1.28E+07,0,0,0,0,0,0,0,0,0,64,32,0.155798816,0.077899408,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.28E+07,0,1.28E+07,1.28E+07,0
10.0.2.15-10.0.2.5-40767-5432-6,10.0.2.15,40767,10.0.2.5,5432,6,15/12/2025 11:06:14 PM,11787888,2,1,0,0,0,0,0,0,0,0,0,0,0,0.254498516,5893944,8333570.2,1.18E+07,1220,1.18E+07,1.18E+07,0,1.18E+07,1.18E+07,0,0,0,0,0,0,0,0,0,64,32,0.169665677,0.084832839,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.18E+07,0,1.18E+07,1.18E+07,0
10.0.2.15-10.0.2.5-35825-5432-6,10.0.2.15,35825,10.0.2.5,5432,6,15/12/2025 11:08:46 PM,12813477,2,1,0,0,0,0,0,0,0,0,0,0,0,0.234128488,6406738.5,9057696.334,1.28E+07,1980,1.28E+07,1.28E+07,0,1.28E+07,1.28E+07,0,0,0,0,0,0,0,0,0,64,32,0.156085659,0.078042829,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.28E+07,0,1.28E+07,1.28E+07,0
10.0.2.15-10.0.2.5-44551-5432-6,10.0.2.15,44551,10.0.2.5,5432,6,15/12/2025 11:06:32 PM,12842355,2,1,0,0,0,0,0,0,0,0,0,0,0,0.233602015,6421177.5,9078970.349,1.28E+07,1376,1.28E+07,1.28E+07,0,1.28E+07,1.28E+07,0,0,0,0,0,0,0,0,0,64,32,0.155734676,0.077867338,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.28E+07,0,1.28E+07,1.28E+07,0
